roll_number,student_name,face_status,fingerprint_id,dataset_folder,active
22102001,Student 01,uncovered,FP001,22102001,1
22102002,Student 02,covered,FP002,22102002,1
22102003,Student 03,uncovered,FP003,22102003,1
22102004,Student 04,uncovered,FP004,22102004,1
22102005,Student 05,uncovered,FP005,22102005,1
22102006,Student 06,uncovered,FP006,22102006,1
22102007,Student 07,uncovered,FP007,22102007,1
22102008,Student 08,uncovered,FP008,22102008,1
22102009,Student 09,uncovered,FP009,22102009,1
22102010,Student 10,uncovered,FP010,22102010,1
22102011,Student 11,uncovered,FP011,22102011,1
22102012,Student 12,uncovered,FP012,22102012,1
22102013,Student 13,uncovered,FP013,22102013,1
22102014,Student 14,uncovered,FP014,22102014,1
22102015,Student 15,uncovered,FP015,22102015,1
22102016,Student 16,uncovered,FP016,22102016,1
22102017,Student 17,uncovered,FP017,22102017,1
22102018,Student 18,uncovered,FP018,22102018,1
22102019,Student 19,uncovered,FP019,22102019,1
22102020,Student 20,uncovered,FP020,22102020,1
22102021,Student 21,uncovered,FP021,22102021,1
22102022,Student 22,uncovered,FP022,22102022,1
22102023,Student 23,uncovered,FP023,22102023,1
22102024,Student 24,uncovered,FP024,22102024,1
22102025,Student 25,uncovered,FP025,22102025,1
22102026,Student 26,uncovered,FP026,22102026,1
22102027,Student 27,uncovered,FP027,22102027,1
22102028,Student 28,uncovered,FP028,22102028,1
22102029,Student 29,uncovered,FP029,22102029,1
22102030,Student 30,covered,FP030,22102030,1
22102031,Student 31,covered,FP031,22102031,1
22102032,Student 32,uncovered,FP032,22102032,1
22102033,Student 33,covered,FP033,22102033,1
22102034,Student 34,uncovered,FP034,22102034,1
22102035,Student 35,uncovered,FP035,22102035,1
22102036,Student 36,uncovered,FP036,22102036,1
22102037,Student 37,uncovered,FP037,22102037,1
22102038,Student 38,uncovered,FP038,22102038,1
22102039,Student 39,uncovered,FP039,22102039,1
22102040,Student 40,uncovered,FP040,22102040,1
